FABLES, OV HISTOIRES ALLEGORIQVES.	FABLES, OU HISTOIRES ALLÉGORIQUES.
Pourquoy ?…… ſans doute il euſt pouſsé loin le murmure ;	Pourquoi?…… sans doute il eût poussé loin le murmure;
Mais un Milan paſſant par là,	Mais un Milan passant par là,
Quoy ? luy dit-il, ce n’eſt que pour cela	Quoi? lui dit-il, ce n’est que pour cela
Que tu vas de Povrqvoy fatiguant la Nature ?	Que tu vas de Pourquoi fatiguant la Nature?
Hé ! mon amy ton mal eſt devenu commun,	Hé! mon ami ton mal est devenu commun,
Parmy les Animaux, je n’en connois aucun	Parmi les Animaux, je n’en connais aucun
Qui ne puiſſe s’attendre à pareille aventure.	Qui ne puisse s’attendre à pareille aventure.
FABLE V.	FABLE V.
Le Papillon, le Freſlon, & la Chenille.	Le Papillon, le Frelon, et la Chenille.
UN vieux Freſlon depuis long-temps	Un vieux Frelon depuis longtemps
Avoit fait des deſſeins ſur une Tubereuſe ;	Avait fait des desseins sur une Tubereuse;
Un Papillon, nouveau fils du Printemps,	Un Papillon, nouveau fils du Printemps,
Traverſoit en ſecret, ſa fortune amoureuſe.	Traversait en secret, sa fortune amoureuse.
De grand murmure, & de ſanglant combat,	De grand murmure, et de sanglant combat,
Se vit alors la prochaine apparence,	Se vit alors la prochaine apparence,
C’eſt touſiours de la concurrence,	C’est toujours de la concurrence,
Que naiſſent le bruit & l’éclat.	Que naissent le bruit et l’éclat.
A maintenir leurs droits, les Rivaux s’appreſterent.	À maintenir leurs droits, les Rivaux s’apprêtèrent.
Pere Freſlon de bourdonner,	Père Frelon de bourdonner,
Papillon de papillonner,	Papillon de papillonner,
Tant volerent, tant bourdonnerent,	Tant volèrent, tant bourdonnèrent,
Qu’enfin l’Amour ils obligerent,	Qu’enfin l’Amour ils obligèrent,
A juger de leur different.	À juger de leur différend.
Il cite devant luy le Couple concourant,	Il cite devant lui le Couple concourant,
Leur ordonne à tous deux, d’expoſer l’aventure :	Leur ordonne à tous deux, d’exposer l’aventure:
Jamais ſans doute avant ce jour,	Jamais sans doute avant ce jour,
Ils ne s’eſtoient trouvez en telle conjoncture ;	Ils ne s’étaient trouvés en telle conjoncture;
Mais tout parle dans la Nature,	Mais tout parle dans la Nature,
Quand il s’agit d’obeyr à l’Amour.	Quand il s’agit d’obéir à l’Amour.
Je ſuis, dit le premier, un Freſlon qu’on eſtime	Je suis, dit le premier, un Frelon qu’on estime
Pour ſon labeur & pour ſon rang.	Pour son labeur et pour son rang.
D’un eſſain renommé le Prince legitime	D’un essaim renommé le Prince légitime
Me reconnoiſt pour eſtre de ſon Sang :	Me reconnait pour être de son Sang:
Cette tubereuſe naiſſante,	Cette tubereuse naissante,
Par ſa jeuneſſe floriſſante,	Par sa jeunesse florissante,
A ſceu meriter mon ardeur ;	A su mériter mon ardeur;
Depuis le jour qu’elle eſt écloſe,	Depuis le jour qu’elle est éclose,
Je voltige ſans ceſſe autour de cette Fleur,	Je voltige sans cesse autour de cette Fleur,
Et quitte pour la voir, Lys, Anemone, & Roſe,	Et quitte pour la voir, Lys, Anémone, et Rose,
Qui tenoient de ma part, ces ſoins à grand honneur.	Qui tenaient de ma part, ces soins à grand honneur.
Ce foible Papillon, cette fragile engeance,	Ce faible Papillon, cette fragile engeance,
Qui parmy nous s’oſe à peine enrôler,	Qui parmi nous s’ose à peine enrôler,
Sans redouter l’effet de ma vengeance	Sans redouter l’effet de ma vengeance
Sur mes traces ſemble voler.	Sur mes traces semble voler.
Si pour travailler à ma taſche,	Si pour travailler à ma tâche,
Je donne à mes deſirs, un moment de relaſche,	Je donne à mes désirs, un moment de relâche,
Ou vais ſuccer d’un fruit le naiſſant vermillon,	Ou vais sucer d’un fruit le naissant vermillon,
Quand ie viens reparer prés de ma Tubereuſe,	Quand je viens réparer près de ma Tubereuse,
Une abſence ſi douloureuſe ;	Une absence si douloureuse;
J’y retrouve touſiours l’aſſidu Papillon :	J’y retrouve toujours l’assidu Papillon:
Faut-il qu’un Freſlon de ma ſorte,	Faut-il qu’un Frelon de ma sorte,
Chery de Flore, envié des Zephirs,	Chéri de Flore, envié des Zéphyrs,
Souffre qu’un Papillon apporte	Souffre qu’un Papillon apporte
Un obſtacle ſecret à ſes tendres deſirs ?	Un obstacle secret à ses tendres désirs?
Qu’il oſe impunément luy diſputer la place,	Qu’il ose impunément lui disputer la place,
Exciter ſa colere, & ſes ſoupçons ialoux ?	Exciter sa colère, et ses soupçons jaloux?
Ay-je tord de vouloir reprimer cette audace ?	Ai-je tort de vouloir réprimer cette audace?
Grand Dieu, je m’en rapporte à vous.	Grand Dieu, je m’en rapporte à vous.
C’eſt, dit le Papillon, avoir mauvaiſe grace,	C’est, dit le Papillon, avoir mauvaise grâce,
Et faire à ce Dieu mal ſa Cour,	Et faire à ce Dieu mal sa Cour,
Que d’expoſer ſon travail & ſa Race,	Que d’exposer son travail et sa Race,
Quand il s’agit des faveurs de l’Amour.	Quand il s’agit des faveurs de l’Amour.
Moy Papillon, je ne me vente	Moi Papillon, je ne me vante
Ny d’anceſtres fameux, ny d’exploits importans ;	Ni d’ancêtres fameux, ni d’exploits importants;
Mais ma parure eſt éclatante,	Mais ma parure est éclatante,
Et j’en change tous les Printems.	Et j’en change tous les Printemps.
À la ſaison que les Roſes nouvelles	À la saison que les Roses nouvelles
Eſtalent à mes yeux leurs beautez naturelles,	Étalent à mes yeux leurs beautés naturelles,
Si je me trouve épris de leurs jeunes appas,	Si je me trouve épris de leurs jeunes appas,
Je ne prends point mon vol vers elles,	Je ne prends point mon vol vers elles,
Que l’éclat qui ſort de mes aîles	Que l’éclat qui sort de mes ailes
Ne m’ait devancé de cent pas.	Ne m’ait devancé de cent pas.
J’ay du brillant, de la jeuneſſe,	J’ai du brillant, de la jeunesse,
De l’enjoument, & de la propreté :	De l’enjouement, et de la propreté:
Je ſuis leger, je le confeſſe,	Je suis léger, je le confesse,
Mais je rends grace au Ciel de ma legereté,	Mais je rends grâce au Ciel de ma légèreté,
Lors que Papillonnant, de fleurette en fleurette,	Lorsque Papillonnant, de fleurette en fleurette,
Indifferemment ie muguette	Indifféremment je muguette
Tout ce qui paroiſt à mes yeux,	Tout ce qui parait à mes yeux,
Cette inconſtance eſt ſouvent une addreſſe	Cette inconstance est souvent une adresse
Pour inſpirer à la Fleur ma Maiſtreſſe	Pour inspirer à la Fleur ma Maitresse
Le deſir de m’arreſter mieux.	Le désir de m’arrêter mieux.
Si d’un illuſtre Sang ta vanité ſe louë,	Si d’un illustre Sang ta vanité se loue,
En humble Papillon j’avouë	En humble Papillon j’avoue
De ne meriter pas cét honneur comme toy ;	De ne mériter pas cet honneur comme toi;
Mais pour finir la diſpute amoureuſe,	Mais pour finir la dispute amoureuse,
Demandons à la Tubereuſe,	Demandons à la Tubereuse,
Lequel luy plaiſt le plus, du Freſlon, ou de moy.	Lequel lui plait le plus, du Frelon, ou de moi.
Malgré le royal Parentage,	Malgré le royal Parentage,
Le Papillon auroit eu l’avantage,	Le Papillon aurait eu l’avantage,
Si la Fleur euſt reglé ſon ſort :	Si la Fleur eût réglé son sort:
Il eſtoit jeune, il eſtoit agreable ;	Il était jeune, il était agréable;
Mais pendant que tous deux redoubloient leur effort,	Mais pendant que tous deux redoublaient leur effort,
Pour obtenir un Arreſt favorable,	Pour obtenir un Arrêt favorable,
Une Chenille impitoyable	Une Chenille impitoyable
Achevoit ſourdement de les mettre d’accord.	Achevait sourdement de les mettre d’accord.
Ainſi voit-on finir parmy les creatures,	Ainsi voit-on finir parmi les créatures,
Maintes & maintes avantures ;	Maintes et maintes aventures;
On entre en concurrence ; & de feux, & de ſoins	On entre en concurrence; et de feux, et de soins
On ſe diſpute, on ſe querelle,	On se dispute, on se querelle,
Pendant que le Rival qu’on redoute le moins,	Pendant que le Rival qu’on redoute le moins,
Triomphe en ſecret de la Belle ;	Triomphe en secret de la Belle;
Et laiſſant aux Muguets, le murmure & l’éclat,	Et laissant aux Muguets, le murmure et l’éclat,
S’enrichit du butin, ſans aller au combat.	S’enrichit du butin, sans aller au combat.
FABLE VI.	FABLE VI.
Le Chat, & le Grillon.	Le Chat, et le Grillon.
QVe l’homme ſe ſert mal de ſon raiſonnement !	Que l’homme se sert mal de son raisonnement!
Qu’injuſte fut la Loy ſuprême	Qu’injuste fut la Loi suprême
Qui ſoûmit l’Animal impitoyablement	Qui soumit l’Animal impitoyablement
A tel qui ne ſçait pas ſe gouverner luy-meſme,	À tel qui ne sait pas se gouverner lui-même,
Et que tout Animal inſtruit facilement.	Et que tout Animal instruit facilement.
Ainſi s’exhaloit en murmure,	Ainsi s’exhalait en murmure,
Certain Grillon ſeditieux,	Certain Grillon séditieux,
Qui bien-toſt euſt changé l’ordre de la Nature,	Qui bientôt eût changé l’ordre de la Nature,
Si Grillons décidoient dans le Conſeil des Dieux.	Si Grillons décidaient dans le Conseil des Dieux.
C’eſt bien à toy, mon cher, à faire le Critique,	C’est bien à toi, mon cher, à faire le Critique,
Interrompit un vieux Matou,	Interrompit un vieux Matou,
Qu’un peu de cendre chaude attiroit prés du trou	Qu’un peu de cendre chaude attirait près du trou
De noſtre Grillon Satirique.	De notre Grillon Satirique.
Encore ſi c’eſtoit quelque Chat comme moy,	Encore si c’était quelque Chat comme moi,
Qui blaſmât la ſuprême Loy,	Qui blâmât la suprême Loi,
Je luy pardonnerois de ſe donner carriere.	Je lui pardonnerais de se donner carrière.
Matou courant de nuict, de Goutiere, en Goutiere,	Matou courant de nuit, de Gouttière, en Gouttière,
Peut ſe formaliſer d’avoir l’homme pour Roy.	Peut se formaliser d’avoir l’homme pour Roi.
Il luy voit en ſecret, commettre tant de crimes,	Il lui voit en secret, commettre tant de crimes,
Suivre tant de folles maximes.	Suivre tant de folles maximes.
Icy fait le lutin, le frenetique Epoux,	Ici fait le lutin, le frénétique Époux,
Croyant que grilles & verroux	Croyant que grilles et verrous
Rendent une Epouſe fidelle,	Rendent une Épouse fidèle,
Pendant que le Galant qui luy tient en cervelle,	Pendant que le Galant qui lui tient en cervelle,
Doit aux ſeuls ſoupçons du jaloux,	Doit aux seuls soupçons du jaloux,
Toutes les faveurs de la Belle.	Toutes les faveurs de la Belle.
Là, garde le Mulet quelque credule Amant,	Là, garde le Mulet quelque crédule Amant,
Comptant pour un Siecle un moment,	Comptant pour un Siècle un moment,
Penſant que ſa Philis le compte à ſa maniere,	Pensant que sa Philis le compte à sa manière,
Et l’égale en deſirs comme en fidelité.	Et l’égale en désirs comme en fidélité.
Que s’il pouvoit en Chat paſſer par la Chattiere,	Que s’il pouvait en Chat passer par la Chatière,
Seroit bien-toſt guery de ſa credulité.	Serait bientôt guéri de sa crédulité.
Es-tu témoin des ſerenades,	Es-tu témoin des sérénades,
Et des nocturnes promenades,	Et des nocturnes promenades,
Où s’occupent ſouvent les plus ſages mondains ?	Où s’occupent souvent les plus sages mondains?
Paſſes-tu quelquesfois ſur les toits les plus ſaints,	Passes-tu quelquefois sur les toits les plus saints,
D’où lorgnant par un trou, le rusé Solitaire,	D’où lorgnant par un trou, le rusé Solitaire,
J’ay veu l’hypocriſie, à tel degré monter,	J’ai vu l’hypocrisie, à tel degré monter,
Que moy Matou, je n’oſe raconter,	Que moi Matou, je n’ose raconter,
Ce que tel qu’on croit Saint, n’a pas honte de faire.	Ce que tel qu’on croit Saint, n’a pas honte de faire.
Chacun ſçait ce qu’il ſçait, reprit d’un ton chagrin,	Chacun sait ce qu’il sait, reprit d’un ton chagrin,
Le Grillon mal content de ſon petit deſtin :	Le Grillon mal content de son petit destin:
Si tu vois le Bigot démentir ſa grimaſſe,	Si tu vois le Bigot démentir sa grimace,
Je voy peut-eſtre plus, ſans partir de ma place.	Je vois peut-être plus, sans partir de ma place.
J’entends ſouvent le Magiſtrat	J’entends souvent le Magistrat
De ſon Foyer prendre des Villes,	De son Foyer prendre des Villes,
Le Cavalier parler, de matieres civiles,	Le Cavalier parler, de matières civiles,
Et le Bourgeois, trancher du Potentat.	Et le Bourgeois, trancher du Potentat.
Tel qui ne peut trouver, de party pour ſa fille,	Tel qui ne peut trouver, de parti pour sa fille,
De tout le genre humain, fait le Chef de Famille,	De tout le genre humain, fait le Chef de Famille,
Et croit eſtre nommé de Dieu pour le pourvoir ;	Et croit être nommé de Dieu pour le pourvoir;
Il donne celuy-cy de puiſſance abſoluë,	Il donne celui-ci de puissance absolue,
A telle que peut-eſtre, il n’aura jamais veuë,	À telle que peut-être, il n’aura jamais vue,
Et qu’il ne devra jamais voir.	Et qu’il ne devra jamais voir.
Que diray-je de la licence	Que dirai-je de la licence
Que ſe donne leur médiſance ?	Que se donne leur médisance?
Eſt-il rien de ſacré pour ces Prophanes-là ;	Est-il rien de sacré pour ces Profanes-là;
Un de ces ſoirs j’entendois dire………………	Un de ces soirs j’entendais dire………………
A cét endroit de la Satyre,	À cet endroit de la satire,
Le Patron de caſe appella ;	Le Patron de case appela;
Sa voix pour nos cenſeurs, fut pis qu’un coup de foudre.	Sa voix pour nos censeurs, fut pis qu’un coup de foudre.
Matou ne fit qu’un ſaut, juſques au trou du Chat,	Matou ne fit qu’un saut, jusques au trou du Chat,
Et Grillon ſe croyant deſia reduit en poudre,	Et Grillon se croyant déjà réduit en poudre,
Rentra plus mort que vif dans ſon ſombre grabat.	Rentra plus mort que vif dans son sombre grabat.
FABLE VII.	FABLE VII.
L’Agneau, & ſes freres	L’Agneau, et ses frères
AVtresfois nâquit un Agneau,	Autrefois naquit un Agneau,
Plus digne d’eſtre un Louveteau,	Plus digne d’être un Louveteau,
Que d’avoir Moutonne origine.	Que d’avoir Moutonne origine.
Il crioit ſans ceſſe famine,	Il criait sans cesse famine,
A tous les Agneaux du troupeau.	À tous les Agneaux du troupeau.
Sa Mere, diſoit-il, eſtoit preſque tarie,	Sa Mère, disait-il, était presque tarie,
Il rempliſſoit d’un plaintif beêlement,	Il remplissait d’un plaintif bêlement,
Pâturages, & Bergerie,	Pâturages, et Bergerie,
Et voyez la friponnerie !	Et voyez la friponnerie!
Sa Mere avoit du laict, plus que ſuffiſamment ;	Sa Mère avait du lait, plus que suffisamment;
Mais outre qu’il eſtoit d’un naturel gourmand,	Mais outre qu’il était d’un naturel gourmand,
Il s’eſtoit apperceu que Bergers & Bergeres,	Il s’était aperçu que Bergers et Bergères,
De Beſtail bien nourry font touſiours plus de cas,	De Bétail bien nourri font toujours plus de cas,
Que de Beſtail qui ne profite pas.	Que de Bétail qui ne profite pas.
Le voila donc gueuſant du laict, à tous ſes freres.	Le voilà donc gueusant du lait, à tous ses frères.
Hé ! leur diſoit-il, par pitié	Hé! leur disait-il, par pitié
Souffrez que ie tette vos Meres,	Souffrez que je tète vos Mères,
Elles ont trop de laict pour vous de la moitié :	Elles ont trop de lait pour vous de la moitié:
Et moy pauvre Agnelet, natif de meſme Eſtable,	Et moi pauvre Agnelet, natif de même Étable,
Qui nuict & jour, tire la mienne en vain,	Qui nuit et jour, tire la mienne en vain,
Je ſerois deſia mort de faim,	Je serais déjà mort de faim,
Si ie n’avois trouvé quelqu’Agneau ſecourable.	Si je n’avais trouvé quelqu’Agneau secourable.
Jamais la feinte, avant ce jour,	Jamais la feinte, avant ce jour,
Chez les ſimples Agneaux, ne fut miſe en pratique,	Chez les simples Agneaux, ne fut mise en pratique,
Ceux-cy croyant aux dits, du rusé famelique,	Ceux-ci croyant aux dits, du rusé famélique,
Luy cedoient bonnement, leur place tour à tour.	Lui cédaient bonnement, leur place tour à tour.
Il profite à gogo de cette complaiſance,	Il profite à gogo de cette complaisance,
Il croiſt, il devient graſſelet,	Il croît, il devient grasselet,
Au lieu que les Agneaux, qu’il tenoit au filet,	Au lieu que les Agneaux, qu’il tenait au filet,
Jeûnant de son trop d’abondance,	Jeûnant de son trop d’abondance,
Auprés de luy ne ſembloient qu’avortons.	Auprès de lui ne semblaient qu’avortons.
Arrive un Marchand de Moutons.	Arrive un Marchand de Moutons.
On luy fait voir la Peuplade nouvelle,	On lui fait voir la Peuplade nouvelle,
A peine il jette l’œil ſur elle,	À peine il jette l’œil sur elle,
Qu’il croit que les Sorciers, ont maudit le Troupeau ;	Qu’il croit que les Sorciers, ont maudit le Troupeau;
Où mene-t’on, dit-il, ces pauvres Brebis paiſtre ?	Où mène-t’on, dit-il, ces pauvres Brebis paitre?
Leurs petits n’ont que les os & la peau.	Leurs petits n’ont que les os et la peau.
Gardez-les pour peupler, Monſieur, dit-il au Maiſtre,	Gardez-les pour peupler, Monsieur, dit-il au Maitre,
Car de les vendre en cét eſtat,	Car de les vendre en cet état,
Vous n’en tirerez pas ſeulement une obole.	Vous n’en tirerez pas seulement une obole.
En prononçant cette parole	En prononçant cette parole
Il mit la main ſur noſtre Scelerat.	Il mit la main sur notre Scélérat.
Ho, ho, dit-il, je taſte un drôle,	Ho, ho, dit-il, je tâte un drôle,
Qui s’eſt ſauvé du Magique attentat,	Qui s’est sauvé du Magique attentat,
Il l’achepte, on luy livre, il fait le meilleur Plat,	Il l’achète, on lui livre, il fait le meilleur Plat,
De la prochaine Hoſtellerie,	De la prochaine Hôtellerie,
Pendant que les Agneaux, qu’il a mis aux abois,	Pendant que les Agneaux, qu’il a mis aux abois,
Bondiſſent ſur l’herbe fleurie,	Bondissent sur l’herbe fleurie,
Ou ruminent en paix à l’ombrage des bois.	Ou ruminent en paix à l’ombrage des bois.
Ie n’expliqueray point ma Fable.	Je n’expliquerai point ma Fable.
Tout convoiteux du bien d’autruy,	Tout convoiteux du bien d’autrui,
Tout Paraſite inſatiable,	Tout Parasite insatiable,
Bref tout humain, du ſiecle d’aujourd’huy,	Bref tout humain, du siècle d’aujourd’hui,
Qui d’eſtre mon Agneau, ſe ſentira capable,	Qui d’être mon Agneau, se sentira capable,
Sçaura bien que je parle à luy.	Saura bien que je parle à lui.
FABLE VIII.	FABLE VIII.
L’Yrondelle, & l’Oyſeau de Paradis.	L’Hirondelle, et l’Oiseau de Paradis.
L’Yrondelle, craignant, le froid de nos quartiers,	L’Hirondelle, craignant, le froid de nos quartiers,
S’en alloit faire un tour, juſqu’aupres de Carthage.	S’en allait faire un tour, jusqu’auprès de Carthage.
L’Oyſeau de Paradis, ſe trouve à ſon paſſage,	L’Oiseau de Paradis, se trouve à son passage,
Voyageurs, comme on ſçait, couſinent volontiers.	Voyageurs, comme on sait, cousinent volontiers.
Les voila donc jaſant, d’un climat, & d’un autre,	Les voilà donc jasant, d’un climat, et d’un autre,
L’Yrondelle ventoit, les raretez du nôtre,	L’Hirondelle vantait, les raretés du nôtre,
Et l’Oyſeau, les beautez du ſien :	Et l’Oiseau, les beautés du sien:
Elle prit gouſt à l’entretien.	Elle prit gout à l’entretien.
Elle ſe connoiſſoit, pour n’eſtre qu’Yrondelle,	Elle se connaissait, pour n’être qu’Hirondelle,
Et ſçavoit que l’oyſeau, n’eſt pas oyſeau pour elle ;	Et savait que l’oiseau, n’est pas oiseau pour elle;
Mais contre ce qui plaiſt, on ne prend loy de rien.	Mais contre ce qui plait, on ne prend loi de rien.
L’Oyſeau de Paradis eſt charmant au poſſible,	L’Oiseau de Paradis est charmant au possible,
Et noſtre voyageuſe, a le cœur ſuſceptible.	Et notre voyageuse, a le cœur susceptible.
Elle niche ſouvent, en tel Palais de Cour,	Elle niche souvent, en tel Palais de Cour,
Où l’on n’habite point, ſans connoiſtre l’amour :	Où l’on n’habite point, sans connaitre l’amour:
Elle admire, tantoſt, le bec, & le ramage,	Elle admire, tantôt, le bec, et le ramage,
D’autresfois, le rare plumage,	D’autrefois, le rare plumage,
De l’hoſte à ſes yeux ſi charmant ;	De l’hôte à ses yeux si charmant;
Et ſans conſiderer, dans ſon emportement,	Et sans considérer, dans son emportement,
Que le celeſte Oyseau, n’habite que la nuë	Que le céleste Oiseau, n’habite que la nue
Et qu’il vit, de l’air ſeulement,	Et qu’il vit, de l’air seulement,
La voilà d’abord reſoluë,	La voilà d’abord résolue,
A ne le perdre plus de veuë.	À ne le perdre plus de vue.
Cependant la faim la preſſoit,	Cependant la faim la pressait,
Dame Nature patiſſoit,	Dame Nature pâtissait,
Et l’on ſçait que cette Commere,	Et l’on sait que cette Commère,
Ne ſe repaiſt point de chimere.	Ne se repait point de chimère.
Tant d’amour qu’on voudra, tant de charmans appas,	Tant d’amour qu’on voudra, tant de charmants appas,
Il faut toûjours manger, & boire,	Il faut toujours manger, et boire,
Et c’eſt un incident, neceſſaire à l’hiſtoire,	Et c’est un incident, nécessaire à l’histoire,
Que de prendre un leger repas.	Que de prendre un léger repas.
Faut-il ſe revolter, contre Dame Nature ?	Faut-il se révolter, contre Dame Nature?
Ou faut-il ſe rendre à ſes coups,	Ou faut-il se rendre à ses coups,
Jeunes Amans, ma Fable parle à vous.	Jeunes Amants, ma Fable parle à vous.
Quelle que ſoit l’ardeur qui vous tranſporte	Quelle que soit l’ardeur qui vous transporte
Sur un peu de prudence, appuyez voſtre amour,	Sur un peu de prudence, appuyez votre amour,
Les plaiſirs les plus grands, ſont ſujets au retour,	Les plaisirs les plus grands, sont sujets au retour,
Et la neceſſité demeure la plus forte.	Et la nécessité demeure la plus forte.
