MEMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIERE.	MÉMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIÈRE.
Premiere Partie.	Première Partie.
A PARIS	À PARIS
Chez Claude Barbin, au Palais sur le second Perron de la Sainte Chappelle.	Chez Claude Barbin, au Palais sur le second Perron de la Sainte Chapelle.
M. DC. LXXII.	MDCLXXII.
Avec Privilege du Roy.	Avec Privilège du Roi.
FRAGMENT d’une Lettre.	FRAGMENT d’une Lettre.
I’amene avec moy une belle Dame que vous connoiſſez, & qui me menace de me faire aller bien loin :	J’amène avec moi une belle Dame que vous connaissez, et qui me menace de me faire aller bien loin :
elle a une eſtrange demangeaiſon de ſe revoir à Paris ;	elle a une étrange démangeaison de se revoir à Paris ;
mais je doute qu’elle puiſſe, obtenir ſur moy de me faire faire ces pas-là, outre que mes affaires me r’appelleront bien-toſt à Thoulouze.	mais je doute qu’elle puisse obtenir sur moi de me faire faire ces pas-là, outre que mes affaires me rappelleront bientôt à Toulouse.
Ie ne vais pas ainſi dans une Ville où j’ay eu la folie de conſentir qu’on me fit imprimer.	Je ne vais pas ainsi dans une Ville où j’ai eu la folie de consentir qu’on me fit imprimer.
Comme vous avez plus de prudence que moy, je vous laiſſe l’arbitre de tout ce qu’il faudra encore retrancher.	Comme vous avez plus de prudence que moi, je vous laisse l’arbitre de tout ce qu’il faudra encore retrancher.
Mais parlons d’autre choſe :	Mais parlons d’autre chose :
Que voſtre Libraire m’embaraſſe avec ce qu’il me demande ;	Que votre Libraire m’embarrasse avec ce qu’il me demande ;
eſt ce qu’il ne peut rien faire ſans celà ?	est ce qu’il ne peut rien faire sans cela ?
& puis dequoy veut-il que je luy compoſe une Preface, je n’ay plus rien à dire aux Lecteurs, & j’ay tout dit en leur abandonnant la belle Hiſtoire que vous faites imprimer :	et puis de quoi veut-il que je lui compose une Préface, je n’ai plus rien à dire aux Lecteurs, et j’ai tout dit en leur abandonnant la belle Histoire que vous faites imprimer :
D’ailleurs je ne vois pas que ſon Livre exige une grande juſtification ;	D’ailleurs je ne vois pas que son Livre exige une grande justification ;
& ſi je n’ay pû me diſpenſer d’y parler de quelques perſonnes vivantes, je croy qu’il n’y en a pas une, qui en un beſoin, ne me pardonnât volontiers la liberté que j’ay priſe, & à tout évenement je ſeray le garant de l’Ouvrage de ce coſté-là.	et si je n’ai pu me dispenser d’y parler de quelques personnes vivantes, je crois qu’il n’y en a pas une, qui en un besoin, ne me pardonnât volontiers la liberté que j’ai prise, et à tout événement je serai le garant de l’Ouvrage de ce côté-là.
Ie ſuis bien aiſe de ce que vous me mandez qu’on le doit faire corriger par d’habiles gens, prenez garde ſeulement que ces habiles gens-là ne ſoient pas trop ſerieux, car cela leur aideroit à y trouver beaucoup plus de fautes ;	Je suis bien aise de ce que vous me mandez qu’on le doit faire corriger par d’habiles gens, prenez garde seulement que ces habiles gens-là ne soient pas trop sérieux, car cela leur aiderait à y trouver beaucoup plus de fautes ;
& on dit qu’il faut eſtre un peu badin pour lire des badineries, ou du moins, qu’il les faut lire en badinant pour y avoir plus de plaiſir.	et on dit qu’il faut être un peu badin pour lire des badineries, ou du moins, qu’il les faut lire en badinant pour y avoir plus de plaisir.
Ie finis, car on m’attend pour achever de déjeuſner :	Je finis, car on m’attend pour achever de déjeuner :
Adieu Monſieur, vous eſtes le plus obligeant du monde, & ſi j’avois du loiſir, je ne finirois cette Lettre que par de grands complimens que je vous ferois ſur toutes les bontez que vous avez pour moy.	Adieu Monsieur, vous êtes le plus obligeant du monde, et si j’avais du loisir, je ne finirais cette Lettre que par de grands compliments que je vous ferais sur toutes les bontés que vous avez pour moi.
MEMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIERE.	MÉMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIÈRE.
CE ne m’eſt pas une legere conſolation, Madame, au milieu de tant de médiſances qui déchirent ma reputation par tout, que voſtre Alteſſe deſire que je me juſtifie.	CE ne m’est pas une légère consolation, Madame, au milieu de tant de médisances qui déchirent ma réputation partout, que votre Altesse désire que je me justifie.
J’en ay les ſentimens que je doy, & pour n’en eſtre pas ingrate, j’obeïray volontiers au commandement qu’elle me fait de la divertir, par un recit fidelle de mes erreurs innocentes.	J’en ai les sentiments que je dois, et pour n’en être pas ingrate, j’obéirai volontiers au commandement qu’elle me fait de la divertir, par un récit fidèle de mes erreurs innocentes.
Non que j’eſpere jamais pouvoir arracher des eſprits les crüelles impreſſions que la calomnie a données de ma conduitte :	Non que j’espère jamais pouvoir arracher des esprits les cruelles impressions que la calomnie a données de ma conduite :
Le Siecle ne permet pas que je me flatte de cette penſée.	Le Siècle ne permet pas que je me flatte de cette pensée.
Mais pour me ſervir des termes de V. A. ;	Mais pour me servir des termes de V. A. ;
il viendra un temps, où les hommes ne pourront plus juger ſi criminellement par eux-meſmes de leurs ſemblables ;	il viendra un temps, où les hommes ne pourront plus juger si criminellement par eux-mêmes de leurs semblables ;
parce qu’ils n’auront plus les mœurs ſi corrompuës ny ſi criminelles ;	parce qu’ils n’auront plus les mœurs si corrompues ni si criminelles ;
& alors on ajoûtera, peut-eſtre, plus de foy à ce que j’auray écrit de l’innocence de mes actions, qu’à ce qu’en auront pû dire mes ennemis.	et alors on ajoutera, peut-être, plus de foi à ce que j’aurai écrit de l’innocence de mes actions, qu’à ce qu’en auront pu dire mes ennemis.
Je ne cacheray rien ;	Je ne cacherai rien ;
non pas même des plus folles aventures où j’auray eu quelque part ;	non pas même des plus folles aventures où j’aurai eu quelque part ;
afin que Vôtre Alteſſe en puiſſe rire, dans le même temps qu’elle me plaindra d’autre choſe ;	afin que Votre Altesse en puisse rire, dans le même temps qu’elle me plaindra d’autre chose ;
Et il me ſemble que quand elle ne m’en auroit pas donné la permiſſion, je ne devrois pas laiſſer de le faire ;	Et il me semble que quand elle ne m’en aurait pas donné la permission, je ne devrais pas laisser de le faire ;
car ſans celà, Madame, voudrois-je les momens que vous emploiriez à la lecture d’une ſi ennuyeuſe hiſtoire, que celle de ma vie ?	car sans cela, Madame, voudrais-je les moments que vous emploieriez à la lecture d’une si ennuyeuse histoire, que celle de ma vie ?
Je m’y crois encore d’autant plus engagée, qu’aſſûrément on n’a incité Vôtre Alteſſe à m’honorer de ſes Lettres, que dans l’eſperance d’une réponſe qui ſeroit de ce caractere ;	Je m’y crois encore d’autant plus engagée, qu’assurément on n’a incité Votre Altesse à m’honorer de ses Lettres que dans l’espérance d’une réponse qui serait de ce caractère ;
& c’eſt pourquoy je la ſupplie de prendre tout en bonne part.	et c’est pourquoi je la supplie de prendre tout en bonne part.
Pour commencer :	Pour commencer :
Je n’ay jamais bien ſçeu qui j’eſtois ?	Je n’ai jamais bien su qui j’étais ?
Je ſçay ſeulement que je ne ſuis pas une perſonne qui ait de communes deſtinées ;	Je sais seulement que je ne suis pas une personne qui ait de communes destinées ;
que ma naïſſance, mon education & mes mariages, ont eſté l’effet d’autant d’aventures extraordinaires ;	que ma naïssance, mon éducation et mes mariages, ont été l’effet d’autant d’aventures extraordinaires ;
& que ſi je voulois emprunter l’éclat de quelque Heroïne fabuleuſe, il ſe trouveroit des gens au monde (comme peut-eſtre il s’en eſt déjà trouvé) qui travailleroient à appuyer la fable de ma genealogie, pour en rendre l’hiſtoire plus obſcure.	et que si je voulais emprunter l’éclat de quelque Héroïne fabuleuse, il se trouverait des gens au monde (comme peut-être il s’en est déjà trouvé) qui travailleraient à appuyer la fable de ma généalogie, pour en rendre l’histoire plus obscure.
Je fus nommée Henriette-Sylvie, par l’ordre de ma mere méme, à ce que l’on m’a dit.	Je fus nommée Henriette-Sylvie, par l’ordre de ma mère même, à ce que l’on m’a dit.
Henriette, ſans doute, pour quelque raiſon qui n’eſtoit connuë que d’elle ſeule, & Sylvie, apparamment, parce que j’eſtois venuë au monde à l’entrée d’un bois appellé le bois de Sylves ;	Henriette, sans doute, pour quelque raison qui n’était connue que d’elle seule, et Sylvie, apparemment, parce que j’étais venue au monde à l’entrée d’un bois appelé le bois de Sylves ;
j’ay receu le nom de Moliere, qui m’eſt demeuré par habitude de ceux qui ſe donerent le ſoin de m’élever, & qui le portoient eux-mémes.	j’ai reçu le nom de Molière, qui m’est demeuré par habitude de ceux qui se donnèrent le soin de m’élever, et qui le portaient eux-mémes.
Au reſte je ſuis grande & de bonne mine ;	Au reste je suis grande et de bonne mine ;
j’ay les yeux noirs & brillants, bien ouverts, bien coupez, & qui marquent aſſez d’eſprit, on jugera ſi j’en ay.	j’ai les yeux noirs et brillants, bien ouverts, bien coupés, et qui marquent assez d’esprit, on jugera si j’en ai.
Ma bouche eſt grande quand je ris, fort petite quand je ne ris point ;	Ma bouche est grande quand je ris, fort petite quand je ne ris point ;
mais par malheur pour elle, je ris touſjours.	mais par malheur pour elle, je ris toujours.
J’ay les dents belles, le nez bien fait, la gorge comme le teint, c’eſt à dire admirable, & quand on devroit m’accuſer de preſomption, j’ajouteray, Madame qu’on en voit bien peu de pareilles.	J’ai les dents belles, le nez bien fait, la gorge comme le teint, c’est-à-dire admirable, et quand on devrait m’accuser de présomption, j’ajouterai, Madame qu’on en voit bien peu de pareilles.
Mais je ſerois trop longtemps à faire mon Portrait en détail ;	Mais je serais trop longtemps à faire mon Portrait en détail ;
On peut s’imaginer que je ſuis quaſi une beauté achevée, depuis la teſte juſqu’aux pieds.	On peut s’imaginer que je suis quasi une beauté achevée, depuis la tête jusqu’aux pieds.
Ceux qui ont veu ce que j’en laiſſe voir, témoigneront que je ne me farde pas.	Ceux qui ont vu ce que j’en laisse voir, témoigneront que je ne me farde pas.
Ceux qui ne m’ont pas veuë croiront, s’ils le veulent, que je me peins ainſi à plaiſir, ils aimeront toûjours mieux l’idée d’une belle perſonne, que celle d’une laide, ou ils ſeront gens de mauvais gouſt ;	Ceux qui ne m’ont pas vue croiront, s’ils le veulent, que je me peins ainsi à plaisir, ils aimeront toujours mieux l’idée d’une belle personne, que celle d’une laide, ou ils seront gens de mauvais goût ;
je dis toutefois la verité à Voſtre Alteſſe.	je dis toutefois la vérité à Votre Altesse.
Je me croy diſpenſée de nommer la famille dont je ſuis deſcenduë, apres ce que j’ay dit.	Je me crois dispensée de nommer la famille dont je suis descendue, après ce que j’ai dit.
Peut eſtre que mes parens m’ayant trouvée digne d’eux, apres avoir leu l’hiſtoire de ma vie, encheriront ſur le bien que de charitables perſonnes m’ont déjà fait, & déveloperont un jour le ſecret entier de ma naiſſance, pour l’ajoûter à mes autres fortunes ;	Peut être que mes parents m’ayant trouvée digne d’eux, après avoir lu l’histoire de ma vie, enchériront sur le bien que de charitables personnes m’ont déjà fait, et déveloperont un jour le secret entier de ma naissance, pour l’ajouter à mes autres fortunes ;
Et ſi cela arrive, je promets quelque choſe d’illuſtre ;	Et si cela arrive, je promets quelque chose d’illustre ;
car je me ſens bien, & je ne puis croire qu’un mal-honeſte homme ſoit le pere d’une fille de ma ſorte.	car je me sens bien, et je ne puis croire qu’un malhonnête homme soit le père d’une fille de ma sorte.
Quoy qu’il en ſoit, on m’a aſſûré que je vis le jour dans un hameau ſitué à l’entrée d’un bois à deux ou trois lieuës de Montpelier, ſur le bord de la mer.	Quoi qu’il en soit, on m’a assuré que je vis le jour dans un hameau situé à l’entrée d’un bois à deux ou trois lieues de Montpelier, sur le bord de la mer.
Quatre hommes & deux femmes y amenerent Celle, qui m’a miſe au monde, au Mois de Juillet de l’année mil ſix cens quarante-ſept.	Quatre hommes et deux femmes y amenèrent Celle qui m’a mise au monde, au Mois de Juillet de l’année mille six cent quarante-sept.
Ils aborderent dans une chaloupe qu’on brûla ſur le rivage apres avoir pris terre :	Ils abordèrent dans une chaloupe qu’on brûla sur le rivage après avoir pris terre :
La raiſon ?	La raison ?
Je ne la ſçay pas.	Je ne la sais pas.
On choiſit la premiere maiſon qui ſe trouva ;	On choisit la première maison qui se trouva ;
c’eſtoit celle d’une pauvre femme qui nouriſſoit ſon enfant.	c’était celle d’une pauvre femme qui nourrissait son enfant.
Ma mere, qui qu’elle ſoit, n’y fut pas une heure, qu’elle accoucha.	Ma mère, qui qu’elle soit, n’y fut pas une heure, qu’elle accoucha.
On fit nourrir l’enfant de la païſanne par une autre, & on me mit entre ſes mains avec une ſomme d’argent, puis la nuit venuë, on diſparut ;	On fit nourrir l’enfant de la paysanne par une autre, et on me mit entre ses mains avec une somme d’argent, puis la nuit venue, on disparut ;
la Païſanne qu’on avoit logée ailleurs pour cette nuit, trouva le lendemain qu’on avoit emporté ma mere à la faveur des tenebres ;	la Paysanne qu’on avait logée ailleurs pour cette nuit, trouva le lendemain qu’on avait emporté ma mère à la faveur des ténèbres ;
ſi on me demande où ?	si on me demande où ?
je le ſçay encore moins que le reſte, je voudrois le ſçavoir, plus pour ma ſatisfaction que pour celle des autres ;	je le sais encore moins que le reste, je voudrais le savoir, plus pour ma satisfaction que pour celle des autres ;
je devois pourtant nommer celle de Voſtre Alteſſe toute la premiere.	je devais pourtant nommer celle de Votre Altesse toute la première.
Je fus eſlevée juſques à cinq ans dans ce hameau, ſans eſtre reclamée de perſonne, & environ ce temps-là Monſieur le Duc de Candale s’aviſa de venir chaſſer ſur cette coſte :	Je fus élevée jusqu’à cinq ans dans ce hameau, sans être réclamée de personne, et environ ce temps-là Monsieur le Duc de Candale s’avisa de venir chasser sur cette côte :
il entra dans la cabane de ma Nourrice pour s’y mettre à couvert d’un orage.	il entra dans la cabane de ma Nourrice pour s’y mettre à couvert d’un orage.
Mes petites façons luy plûrent ;	Mes petites façons lui plurent ;
il crût voir en moy quelque choſe qui n’eſtoit pas de Païſanne, il s’informa qui j’eſtois, apprit mon Avanture, puis ſe tournant avec un ſoûris, vers un Gentil-homme qui l’accompagnoit ;	il crut voir en moi quelque chose qui n’était pas de Paysanne, il s’informa qui j’étais, apprit mon Aventure, puis se tournant avec un souris, vers un Gentilhomme qui l’accompagnait ;
Voilà, luy dit-il, une grande cruauté d’abandonner ainſi un enfant ;	Voilà, lui dit-il, une grande cruauté d’abandonner ainsi un enfant ;
cependant cette petite fille ſeroit un jour parfaitement belle ;	cependant cette petite fille serait un jour parfaitement belle ;
je veux prendre ſoin de la faire élever, pour voir ſi je ne ſeray trompé.	je veux prendre soin de la faire élever, pour voir si je ne serai trompé.
Et en effet dépuis ce moment-là, juſques à ſa mort, il ne me laiſſa mancquer d’aucune choſe neceſſaire à mon education ;	Et en effet depuis ce moment-là, jusqu’à sa mort, il ne me laissa manquer d’aucune chose nécessaire à mon éducation ;
méme il en fit tant, que quand on le ſçeut, cela fit dire à pluſieurs que je luy devois la vie, & quelques-uns l’entendoient malicieuſement.	même il en fit tant, que quand on le sut, cela fit dire à plusieurs que je lui devais la vie, et quelques uns l’entendaient malicieusement.
Toutesfois on m’a bien aſſûré qu’il n’eſtoit pas mon pere, & que ſa chaſſe l’avoit amené par hazard dans ce petit hameau ou l’orage luy avoit fait choiſir la maiſon de ma Nourrice entre toutes les autres, quoy qu’elle ne fût point la plus proche du coſté par où il arrivoit :	Toutefois on m’a bien assuré qu’il n’était pas mon père, et que sa chasse l’avait amené par hasard dans ce petit hameau où l’orage lui avait fait choisir la maison de ma Nourrice entre toutes les autres, quoi qu’elle ne fût point la plus proche du côté par où il arrivait :
Je m’en rapporte à ce qu’il en eſt, & ne ſeray point parente à Meſſieurs ſes heritiers s’ils ne le veulent :	Je m’en rapporte à ce qu’il en est, et ne serai point parente à Messieurs ses héritiers s’ils ne le veulent :
C’eſt aſſez parler de celà.	C’est assez parler de cela.
Le premier ſoin de ce genereux Duc fut de m’oſter à la Païſanne, pour me donner à quelqu’un qui pût m’élever avec plus de ſoin.	Le premier soin de ce généreux Duc fut de m’ôter à la Paysanne, pour me donner à quelqu’un qui pût m’élever avec plus de soin.
Il y avoit à Pezenas un Financier dont la femme eſtoit de ſes amies, & cét homme luy avoit obligation de toute ſa fortune :	Il y avait à Pézenas un Financier dont la femme était de ses amies, et cet homme lui avait obligation de toute sa fortune :
On nourriſſoit à ces gens-là, en une de leurs métairies, une petite fille de mon âge, qui eſtoit abandonnée des Medecins, & on attendoit tous les jours l’heure qu’elle mouruſt :	On nourrissait à ces gens-là, en une de leurs métairies, une petite fille de mon âge, qui était abandonnée des Médecins, et on attendait tous les jours l’heure qu’elle mourût :
Il n’eſtoit pas mal-aiſé de me mettre en ſa place dés qu’elle ſeroit morte, & de faire accroire, en la changeant de main auparavant, qu’on l’auroit depuis guerie à force de bons remedes	Il n’était pas malaisé de me mettre en sa place dès qu’elle serait morte, et de faire accroire, en la changeant de main auparavant, qu’on l’aurait depuis guérie à force de bons remèdes
(Voyez un peu, Madame, par quel chemin la fortune me guidoit aux aventures ?)	(Voyez un peu, Madame, par quel chemin la fortune me guidait aux aventures ?)
Cét échange ſe fit aſſez adroitement :	Cet échange se fit assez adroitement :
Le Financier en uſa le mieux du monde :	Le Financier en usa le mieux du monde :
Je devins par ce moyen la cadette d’un fils qu’il avoit, & le denier conſiderable que le Duc luy donna en méme temps luy inſpira toute la tendreſſe qu’il faloit pour bien contrefaire une amitié paternelle.	Je devins par ce moyen la cadette d’un fils qu’il avait, et le denier considérable que le Duc lui donna en même temps lui inspira toute la tendresse qu’il fallait pour bien contrefaire une amitié paternelle.
Je ne fatiguerois peut-eſtre point Vôtre Altreſſe, en commençant mon hiſtoire par ce qui à pû rendre mon enfance auſſi ſurprenante que le reſte de ma vie.	Je ne fatiguerais peut-être point Votre Altresse, en commençant mon histoire par ce qui a pu rendre mon enfance aussi surprenante que le reste de ma vie.
J’avois un petit air galant qui accuſoit quaſi ce Seigneur d’eſtre mon pere ;	J’avais un petit air galant qui accusait quasi ce Seigneur d’être mon père ;
de l’eſprit, de la vanité, du courage, & une telle diſpoſition à bien prendre l’accent de toutes les langues, que comme le fils de mon Financier avoit des gens auprés de luy, pour les luy montrer ;	de l’esprit, de la vanité, du courage, et une telle disposition à bien prendre l’accent de toutes les langues, que comme le fils de mon Financier avait des gens auprès de lui, pour les lui montrer ;
j’en appris en peu de temps juſques à l’Alemand meſme, avec une merveilleuſe facilité.	j’en appris en peu de temps jusqu’à l’Allemand même, avec une merveilleuse facilité.
J’avois auſſi une grande paſſion pour la chaſſe, & enfin juſques-là on n’avoit guére veu de fille mépriſer, comme moy, dés l’âge de diz ans, tous les divertiſſemens du ſexe, pour monter à cheval, tirer un piſtolet, ou faire quelqu’autre ſemblable exercice.	J’avais aussi une grande passion pour la chasse, et enfin jusque là on n’avait guère vu de fille mépriser, comme moi, dés l’âge de dix ans, tous les divertissements du sexe, pour monter à cheval, tirer un pistolet, ou faire quelque autre semblable exercice.
Et il ne ſeroit pas impoſſible que des inclinations ſi extraordinaires euſſent fait naiſtre quelques petites Aventures aſſez jolies ſi je voulois m’en reſſouvenir :	Et il ne serait pas impossible que des inclinations si extraordinaires eussent fait naître quelques petites Aventures assez jolies si je voulais m’en ressouvenir :
mais mon deſſein eſt de ne parler icy que de ce qu’a veu le grand monde, & je n’avois alors que des témoins de peu d’importance.	mais mon dessein est de ne parler ici que de ce qu’a vu le grand monde, et je n’avais alors que des témoins de peu d’importance.
Je diray ſeulement que je ne connoiſſois point d’autre pere & mere que les gens à qui l’on m’avoit donnée ;	Je dirai seulement que je ne connaissais point d’autre père et mère que les gens à qui l’on m’avait donnée ;
& que je n’en fut détrompée que bien tard, par une Aventure aſſez nouvelle.	et que je n’en fus détrompée que bien tard, par une Aventure assez nouvelle.
La femme de mon Financier eſtoit bien faite, & avoit beaucoup d’eſprit.	La femme de mon Financier était bien faite, et avait beaucoup d’esprit.
Un Marquis de Birague, homme de naiſſance, & tout plein de belles qualitez, tel enfin que (ſi je n’ay pas eu en ce temps-là aſſez de conſideration pour luy, parce qu’il eſtoit marié) je ſerois fort aiſe d’eſtre ſervie par un ſemblable Cavalier, maintenant qu’il eſt veuf.	Un Marquis de Birague, homme de naissance, et tout plein de belles qualités, tel enfin que (si je n’ai pas eu en ce temps-là assez de considération pour lui, parce qu’il était marié) je serais fort aise d’être servie par un semblable Cavalier, maintenant qu’il est veuf.
Ce galant homme, dis-je, voyoit ſouvent la belle Dame de Moliere, c’eſt ainſi que s’appelloit cette femme.	Ce galant homme, dis-je, voyait souvent la belle Dame de Molière, c’est ainsi que s’appelait cette femme.
